Indicator,Year,Group,Component,Quantity,Indicator value
Expected survival of listed threatened species,2002,Tetrapods,potential_loss,Percent,0.280119047619048
Expected survival of listed threatened species,2002,Vascular plants,already_lost,Count,28.71
Expected survival of listed threatened species,2002,Vascular plants,already_lost,Percent,0.04125
Expected survival of listed threatened species,2002,Vascular plants,exp_survival,Count,355.72
Expected survival of listed threatened species,2002,Vascular plants,exp_survival,Percent,0.511091954022989
Expected survival of listed threatened species,2002,Vascular plants,potential_loss,Count,311.57
Expected survival of listed threatened species,2002,Vascular plants,potential_loss,Percent,0.447658045977011
Expected survival of listed threatened species,2007,Other,already_lost,Count,0.99
Expected survival of listed threatened species,2007,Other,already_lost,Percent,0.0253846153846154
Expected survival of listed threatened species,2007,Other,exp_survival,Count,13.46
Expected survival of listed threatened species,2007,Other,exp_survival,Percent,0.345128205128205
Expected survival of listed threatened species,2007,Other,potential_loss,Count,24.55
Expected survival of listed threatened species,2007,Other,potential_loss,Percent,0.629487179487179
Expected survival of listed threatened species,2007,Tetrapods,already_lost,Count,35.64
Expected survival of listed threatened species,2007,Tetrapods,already_lost,Percent,0.113142857142857
Expected survival of listed threatened species,2007,Tetrapods,exp_survival,Count,187.5225
Expected survival of listed threatened species,2007,Tetrapods,exp_survival,Percent,0.595309523809524
Expected survival of listed threatened species,2007,Tetrapods,potential_loss,Count,91.8375
Expected survival of listed threatened species,2007,Tetrapods,potential_loss,Percent,0.291547619047619
Expected survival of listed threatened species,2007,Vascular plants,already_lost,Count,28.71
Expected survival of listed threatened species,2007,Vascular plants,already_lost,Percent,0.04125
Expected survival of listed threatened species,2007,Vascular plants,exp_survival,Count,353.07
Expected survival of listed threatened species,2007,Vascular plants,exp_survival,Percent,0.507284482758621
Expected survival of listed threatened species,2007,Vascular plants,potential_loss,Count,314.22
Expected survival of listed threatened species,2007,Vascular plants,potential_loss,Percent,0.451465517241379
Expected survival of listed threatened species,2012,Other,already_lost,Count,0.99
Expected survival of listed threatened species,2012,Other,already_lost,Percent,0.0253846153846154
Expected survival of listed threatened species,2012,Other,exp_survival,Count,13.46
Expected survival of listed threatened species,2012,Other,exp_survival,Percent,0.345128205128205
Expected survival of listed threatened species,2012,Other,potential_loss,Count,24.55
Expected survival of listed threatened species,2012,Other,potential_loss,Percent,0.629487179487179
Expected survival of listed threatened species,2012,Tetrapods,already_lost,Count,36.63
Expected survival of listed threatened species,2012,Tetrapods,already_lost,Percent,0.116285714285714
Expected survival of listed threatened species,2012,Tetrapods,exp_survival,Count,184.0075
Expected survival of listed threatened species,2012,Tetrapods,exp_survival,Percent,0.584150793650794
Expected survival of listed threatened species,2012,Tetrapods,potential_loss,Count,94.3625
Expected survival of listed threatened species,2012,Tetrapods,potential_loss,Percent,0.299563492063492
Expected survival of listed threatened species,2012,Vascular plants,already_lost,Count,28.71
Expected survival of listed threatened species,2012,Vascular plants,already_lost,Percent,0.04125
Expected survival of listed threatened species,2012,Vascular plants,exp_survival,Count,350.17
Expected survival of listed threatened species,2012,Vascular plants,exp_survival,Percent,0.503117816091954
Expected survival of listed threatened species,2012,Vascular plants,potential_loss,Count,317.12
Expected survival of listed threatened species,2012,Vascular plants,potential_loss,Percent,0.455632183908046
Expected survival of listed threatened species,2017,Other,already_lost,Count,0.99
Expected survival of listed threatened species,2017,Other,already_lost,Percent,0.0253846153846154
Expected survival of listed threatened species,2017,Other,exp_survival,Count,13.21
Expected survival of listed threatened species,2017,Other,exp_survival,Percent,0.338717948717949
Expected survival of listed threatened species,2017,Other,potential_loss,Count,24.8
Expected survival of listed threatened species,2017,Other,potential_loss,Percent,0.635897435897436
Expected survival of listed threatened species,2017,Tetrapods,already_lost,Count,37.62
Expected survival of listed threatened species,2017,Tetrapods,already_lost,Percent,0.119428571428571
Expected survival of listed threatened species,2017,Tetrapods,exp_survival,Count,180.2675
Expected survival of listed threatened species,2017,Tetrapods,exp_survival,Percent,0.572277777777778
Expected survival of listed threatened species,2017,Tetrapods,potential_loss,Count,97.1125
